AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202309,2106375,MARANHÃOZINHO,21,MARANHÃO,NE,NORDESTE,14629089.96,118012,2594844.9,3523,13878844.64,76758,1873092.67,11226,4065,93,3987,81
202301,5201207,ANHANGUERA,52,GOIÁS,CO,CENTRO-OESTE,1729842.79,6896,143895.15,230,1502395.22,5470,183866.78,426,451,19,423,19
202403,2600401,ÁGUA PRETA,26,PERNAMBUCO,NE,NORDESTE,48179196.53,420710,2947855.85,5203,46550194.33,277298,4060368.77,19013,12971,190,13195,171
202505,5218706,RIANÁPOLIS,52,GOIÁS,CO,CENTRO-OESTE,26642023.68,103195,6572385.12,6349,27395887.69,68435,8970241.36,18617,2730,192,2738,186
202508,3508207,BURITIZAL,35,SÃO PAULO,SE,SUDESTE,19822088.83,70344,13287940.05,8193,28889580.6,35961,14844459.88,19439,2587,276,2482,256
202409,5008305,TRÊS LAGOAS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,582508198.44,2991372,590063781.01,285220,584258637.63,1741638,515280898.32,1292098,87083,6898,85893,6439
202403,3304557,RIO DE JANEIRO,33,RIO DE JANEIRO,SE,SUDESTE,27257282431.84,142635067,58163514420.71,12475368,27165581567.29,99790091,57335195193.3,59499282,4485552,306148,4383838,286039
202410,2210904,SOCORRO DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,10798668.29,80501,1078592.99,1521,9072583.03,47232,1878062.86,3910,2314,53,2339,41
202506,2310407,PARAMOTI,23,CEARÁ,NE,NORDESTE,26282363.37,231519,4216850.69,4749,24883244.11,161721,3589848.58,19956,6191,149,5964,139
202310,5107800,SANTO ANTÔNIO DO LEVERGER,51,MATO GROSSO,CO,CENTRO-OESTE,32987469.8,246991,17315551.81,13549,33584335.39,158307,16483833.41,27924,7802,484,7766,462
202303,3107406,BOM DESPACHO,31,MINAS GERAIS,SE,SUDESTE,119779940.51,417042,55676091.15,32086,119771276.74,310259,57003308.14,86600,24580,2072,24246,1954
202411,2906600,CANDIBA,29,BAHIA,NE,NORDESTE,27615493.13,163912,6265259.49,4825,27106381.18,94897,7622160.29,19263,5923,238,5713,240
202409,3525003,JANDIRA,35,SÃO PAULO,SE,SUDESTE,492620137.89,2916056,523046958.98,183051,511880017.96,1828810,579841764.45,405778,86904,5433,86557,5092
202501,5221908,VARJÃO,52,GOIÁS,CO,CENTRO-OESTE,12799785.71,55060,4028692.27,2444,14223701.15,37507,3756891.41,8656,1908,80,1968,71
202408,2805703,PROPRIÁ,28,SERGIPE,NE,NORDESTE,85679096.5,592060,33273683.78,26609,84241100.64,409342,40139639.44,123702,16518,705,16693,667
202408,2208601,PRATA DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,5954396.34,65778,331509.61,656,5289257.41,39292,510449.86,3017,1635,36,1617,41
