AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202405,PF,PJ,Nao informado,SUDESTE,entre 30 e 39 anos,Nao se aplica,DICT,P2G,Pix,3384.22,8
202303,PF,PJ,NORTE,NORTE,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix Troco,7525.59,16
202301,PJ,PF,SUDESTE,Nao informado,Nao se aplica,entre 30 e 39 anos,Nao disponivel,B2P,Nao disponivel,255424.33,1194
202401,PJ,PJ,SUL,NORDESTE,Nao se aplica,Nao se aplica,MANU,B2G,Pix,668315.98,77
202408,PF,PF,NORDESTE,SUL,entre 50 e 59 anos,entre 20 e 29 anos,MANU,P2P,Pix,1226112.51,8636
202307,PF,PF,NORTE,Nao informado,entre 50 e 59 anos,entre 40 e 49 anos,QRES,P2P,Pix,23848.56,136
202312,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,Nao informado,DICT,B2P,Pix,4460.0,12
202309,PF,PF,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,entre 30 e 39 anos,QRES,P2P,Pix,3335387.3,56162
202502,PJ,PJ,SUDESTE,NORTE,Nao se aplica,Nao se aplica,Nao disponivel,G2B,Nao disponivel,500.0,1
202309,PF,PF,NORDESTE,NORDESTE,mais de 60 anos,entre 40 e 49 anos,DICT,P2P,Pix,1391331735.94,4391529
202307,PF,PF,NORTE,SUL,entre 20 e 29 anos,entre 40 e 49 anos,QRDN,P2P,Pix,188750.66,8349
202401,PF,PJ,SUDESTE,SUL,entre 30 e 39 anos,Nao se aplica,QRES,P2G,Pix,18361.93,255
202301,PF,PF,NORTE,NORDESTE,até 19 anos,entre 20 e 29 anos,MANU,P2P,Pix,109556.76,2205
202412,PF,PF,CENTRO-OESTE,SUL,entre 40 e 49 anos,entre 20 e 29 anos,DICT,P2P,Pix,23821541.26,75041
202303,PF,PF,SUL,SUDESTE,entre 40 e 49 anos,entre 40 e 49 anos,DICT,P2P,Pix,95778755.13,256869
202507,PF,PF,NORDESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 50 e 59 anos,QRES,P2P,Pix,2465940.56,70799
202305,PF,PJ,Nao informado,NORTE,entre 40 e 49 anos,Nao se aplica,MANU,P2B,Pix,171194.59,246
202303,PF,PF,Nao informado,CENTRO-OESTE,entre 50 e 59 anos,até 19 anos,MANU,P2P,Pix,1916.0,26
202408,PF,PF,SUL,SUDESTE,entre 30 e 39 anos,entre 20 e 29 anos,INIC,P2P,Pix,1238.0,18
202401,PJ,PF,Nao informado,NORTE,Nao se aplica,entre 40 e 49 anos,Nao disponivel,B2P,Nao disponivel,29.43,1
202304,PF,PJ,NORDESTE,CENTRO-OESTE,mais de 60 anos,Nao se aplica,QRES,P2B,Pix,3247199.61,7059
202309,PF,PF,SUL,NORDESTE,entre 40 e 49 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,1572.6,59
202304,PF,PF,NORDESTE,SUL,entre 50 e 59 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,23669.23,60
202308,PF,PF,NORTE,NORDESTE,entre 50 e 59 anos,entre 50 e 59 anos,DICT,P2P,Pix,15397047.75,53127
202412,PF,PJ,SUDESTE,NORDESTE,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix,78439138.83,1439867
202304,PF,PF,Nao informado,NORDESTE,mais de 60 anos,entre 50 e 59 anos,QRDN,P2P,Pix,944.07,16
202307,PF,PJ,SUL,SUDESTE,entre 20 e 29 anos,Nao se aplica,QRDN,P2B,Pix Troco,1821.0,2
202406,PF,PF,NORTE,NORTE,entre 50 e 59 anos,entre 40 e 49 anos,QRDN,P2P,Pix,10260022.44,314670
202504,PF,PF,Nao informado,NORTE,mais de 60 anos,mais de 60 anos,QRDN,P2P,Pix,909.0,13
202405,PF,PF,SUL,CENTRO-OESTE,até 19 anos,entre 30 e 39 anos,MANU,P2P,Pix,269587.45,2155
202410,PF,PF,NORTE,CENTRO-OESTE,entre 20 e 29 anos,mais de 60 anos,MANU,P2P,Pix,2996694.49,12695
202306,PF,PF,SUL,NORDESTE,entre 20 e 29 anos,entre 40 e 49 anos,MANU,P2P,Pix,2105778.57,11020
202307,PF,PF,CENTRO-OESTE,SUL,até 19 anos,até 19 anos,QRDN,P2P,Pix,2028.03,70
202411,PF,PF,SUL,NORTE,até 19 anos,entre 50 e 59 anos,MANU,P2P,Pix,135164.24,1273
202503,PF,PF,Nao informado,NORDESTE,entre 30 e 39 anos,mais de 60 anos,DICT,P2P,Pix,2501682.43,2902
202306,PF,PF,SUL,Nao informado,entre 20 e 29 anos,entre 30 e 39 anos,QRDN,P2P,Pix,2480.6,85
202407,PF,PF,Nao informado,NORTE,até 19 anos,entre 50 e 59 anos,MANU,P2P,Pix,2691.42,48
202306,PF,PF,Nao informado,Nao informado,entre 40 e 49 anos,até 19 anos,DICT,P2P,Pix,79894.83,689
202505,PF,PF,CENTRO-OESTE,NORDESTE,entre 20 e 29 anos,mais de 60 anos,DICT,P2P,Pix,8081959.51,36892
202402,PJ,PF,SUDESTE,NORTE,Nao se aplica,entre 20 e 29 anos,DICT,G2P,Pix,8034.4,9
202501,PF,PF,SUDESTE,SUL,entre 40 e 49 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,35062.23,968
202408,PJ,PF,NORDESTE,SUL,Nao se aplica,entre 50 e 59 anos,Nao disponivel,B2P,Nao disponivel,158335.14,1222
202303,PF,PF,Nao informado,NORDESTE,Nao informado,mais de 60 anos,DICT,P2P,Pix,357.67,25
202408,PJ,PF,SUDESTE,Nao informado,Nao se aplica,mais de 60 anos,Nao disponivel,B2P,Nao disponivel,115448.35,388
202412,PF,PJ,Nao informado,SUDESTE,entre 20 e 29 anos,Nao se aplica,QRES,P2B,Pix Saque,70.0,1
202302,PF,PF,NORDESTE,SUL,entre 30 e 39 anos,até 19 anos,QRES,P2P,Pix,27132.29,1271
202504,PF,PF,Nao informado,CENTRO-OESTE,Nao informado,entre 40 e 49 anos,DICT,P2P,Pix,582921.09,376
202306,PJ,PF,NORTE,NORTE,Nao se aplica,entre 20 e 29 anos,DICT,G2P,Pix,2127395.86,1378
202505,PF,PF,SUL,SUDESTE,até 19 anos,mais de 60 anos,DICT,P2P,Pix,1750610.82,13910
202302,PF,PF,NORDESTE,CENTRO-OESTE,até 19 anos,entre 50 e 59 anos,QRES,P2P,Pix,33758.79,2146
202310,PF,PF,NORTE,SUDESTE,entre 40 e 49 anos,entre 50 e 59 anos,DICT,P2P,Pix,22315912.96,69235
202505,PF,PF,NORTE,NORTE,até 19 anos,entre 30 e 39 anos,QRES,P2P,Pix,12598655.95,601310
202302,PF,PJ,SUL,CENTRO-OESTE,entre 20 e 29 anos,Nao se aplica,QRES,P2G,Pix,1409.55,27
202411,PF,PF,SUL,SUDESTE,mais de 60 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,165713.04,106
202402,PF,PJ,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,Nao se aplica,QRES,P2B,Pix,61042099.01,184304
202407,PF,PF,CENTRO-OESTE,NORTE,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,71136.68,115
202503,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,entre 50 e 59 anos,MANU,G2P,Pix,6249420.85,3124
202504,PJ,PF,NORTE,CENTRO-OESTE,Nao se aplica,entre 40 e 49 anos,QRDN,B2P,Pix,199836.14,2954
202406,PJ,PF,SUDESTE,NORDESTE,Nao se aplica,entre 20 e 29 anos,DICT,G2P,Pix,178398.84,144
202312,PJ,PF,Nao informado,NORDESTE,Nao se aplica,entre 50 e 59 anos,QRES,B2P,Pix,3635.38,58
202304,PF,PF,NORDESTE,SUL,entre 30 e 39 anos,entre 40 e 49 anos,INIC,P2P,Pix,31.5,1
202507,PF,PF,SUL,SUL,entre 30 e 39 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,5531790.75,18126
202504,PF,PJ,NORTE,SUL,entre 30 e 39 anos,Nao se aplica,QRDN,P2B,Pix,352359711.37,6130904
202506,PF,PJ,CENTRO-OESTE,SUL,entre 20 e 29 anos,Nao se aplica,QRES,P2G,Pix,3663.48,72
202412,PF,PF,CENTRO-OESTE,NORTE,entre 50 e 59 anos,entre 40 e 49 anos,MANU,P2P,Pix,4738328.97,13563
202401,PF,PF,NORTE,NORTE,entre 40 e 49 anos,entre 40 e 49 anos,MANU,P2P,Pix,905864345.76,3900065
202412,PJ,PF,SUDESTE,CENTRO-OESTE,Nao se aplica,entre 30 e 39 anos,Nao disponivel,B2P,Nao disponivel,26025287.05,271571
202504,PJ,PF,Nao informado,CENTRO-OESTE,Nao se aplica,até 19 anos,MANU,B2P,Pix,37532.77,50
202404,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 20 e 29 anos,DICT,P2P,Pix,709071613.08,2360702
202505,PF,PF,SUL,NORTE,mais de 60 anos,entre 20 e 29 anos,DICT,P2P,Pix,10795608.68,29301
202310,PF,PF,SUL,SUDESTE,entre 20 e 29 anos,entre 50 e 59 anos,QRES,P2P,Pix,913866.33,18179
202507,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 40 e 49 anos,QRDN,P2P,Pix,30453819.38,893574
202410,PF,PJ,Nao informado,NORDESTE,até 19 anos,Nao se aplica,QRDN,P2G,Pix,940.36,13
202302,PF,PF,NORDESTE,Nao informado,até 19 anos,até 19 anos,QRES,P2P,Pix,66.0,4
202301,PF,PJ,CENTRO-OESTE,CENTRO-OESTE,entre 20 e 29 anos,Nao se aplica,QRDN,P2B,Pix Saque,1040231.32,6582
202310,PF,PF,CENTRO-OESTE,CENTRO-OESTE,até 19 anos,entre 30 e 39 anos,MANU,P2P,Pix,18073150.57,187153
202502,PF,PF,SUDESTE,NORTE,entre 20 e 29 anos,entre 40 e 49 anos,QRES,P2P,Pix,568077.32,19756
202402,PF,PF,NORTE,CENTRO-OESTE,entre 30 e 39 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,155781.06,709
202411,PF,PF,CENTRO-OESTE,SUDESTE,entre 40 e 49 anos,até 19 anos,MANU,P2P,Pix,1210198.4,11412
202409,PF,PJ,SUL,SUDESTE,entre 30 e 39 anos,Nao se aplica,DICT,P2G,Pix,52840.79,154
202308,PF,PF,SUL,CENTRO-OESTE,mais de 60 anos,entre 50 e 59 anos,QRDN,P2P,Pix,6291.62,135
202504,PF,PF,SUL,NORDESTE,entre 30 e 39 anos,até 19 anos,MANU,P2P,Pix,711400.31,7589
202406,PF,PF,SUDESTE,SUDESTE,entre 50 e 59 anos,entre 30 e 39 anos,DICT,P2P,Pix,3787772091.01,14073671
202307,PF,PF,Nao informado,NORTE,entre 40 e 49 anos,até 19 anos,QRDN,P2P,Pix,168.02,7
202312,PF,PF,NORDESTE,NORTE,entre 40 e 49 anos,mais de 60 anos,QRDN,P2P,Pix,145537.02,4252
202404,PF,PF,NORDESTE,NORDESTE,entre 30 e 39 anos,entre 30 e 39 anos,DICT,P2P,Pix,17631296330.2,60697863
202404,PF,PF,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,160539.32,386
202404,PF,PF,SUDESTE,SUDESTE,até 19 anos,até 19 anos,QRES,P2P,Pix,21788561.08,343465
202301,PF,PJ,SUDESTE,NORDESTE,até 19 anos,Nao se aplica,QRES,P2B,Pix,1227251.86,128040
202407,PF,PF,SUL,NORTE,mais de 60 anos,entre 20 e 29 anos,QRES,P2P,Pix,77875.49,978
202405,PF,PJ,NORTE,SUL,até 19 anos,Nao se aplica,DICT,P2B,Pix,2076028.76,28866
202409,PF,PJ,SUDESTE,NORTE,entre 20 e 29 anos,Nao se aplica,MANU,P2G,Pix,320.0,2
202410,PF,PF,SUDESTE,SUL,até 19 anos,entre 20 e 29 anos,QRDN,P2P,Pix,117185.22,6497
202307,PF,PF,NORDESTE,Nao informado,entre 50 e 59 anos,Nao informado,DICT,P2P,Pix,1582.0,23
202311,PF,PJ,CENTRO-OESTE,NORDESTE,entre 40 e 49 anos,Nao se aplica,QRDN,P2B,Pix Troco,225.0,3
202408,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,até 19 anos,QRDN,B2P,Pix,876363.2,11543
202406,PF,PJ,SUDESTE,SUDESTE,entre 40 e 49 anos,Nao se aplica,QRDN,P2B,Pix Saque,15616091.17,89797
202412,PF,PF,NORDESTE,SUDESTE,entre 40 e 49 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,253854.05,643
202311,PF,PF,NORDESTE,SUDESTE,entre 40 e 49 anos,entre 30 e 39 anos,QRDN,P2P,Pix,1735864.69,48560
202507,PF,PF,SUDESTE,SUL,até 19 anos,entre 30 e 39 anos,MANU,P2P,Pix,1026902.76,9685
